<DATE>    	 <TIME>  	 <OPEN>	 <HIGH>	 <LOW> 	 <CLOSE>	 <TICKVOL>	 <VOL>	 <SPREAD>
2023.03.27	 11:00:00	 1757.4	 1761.1	 1755.7	  1760.1	       799	     0	        6
2023.03.27	 12:00:00	 1760.2	 1766.2	 1759.8	  1764.9	      1497	     0	        6
2023.03.27	 13:00:00	 1764.8	 1772.3	 1764.6	  1768.2	      1797	     0	        6
2023.03.27	 14:00:00	 1768.3	 1770.9	 1766.5	  1768.6	      1769	     0	        6
2023.03.27	 15:00:00	 1768.8	 1770.7	 1755.8	  1762.2	      5607	     0	        6
2023.03.27	 16:00:00	 1762.3	 1767.1	 1755.6	  1755.9	      6587	     0	        6
2023.03.27	 17:00:00	 1756.0	 1760.6	 1753.4	  1757.7	      5443	     0	        6
2023.03.27	 18:00:00	 1757.6	 1764.6	 1755.5	  1764.5	      4808	     0	        6
2023.03.27	 19:00:00	 1764.7	 1773.3	 1763.3	  1768.4	      4025	     0	        6
2023.03.27	 20:00:00	 1768.5	 1775.1	 1766.3	  1774.5	      3475	     0	        6
2023.03.27	 21:00:00	 1774.4	 1777.1	 1765.6	  1767.7	      4446	     0	        6
2023.03.27	 22:00:00	 1768.0	 1772.3	 1767.9	  1772.3	      1019	     0	        6
2023.03.28	 01:00:00	 1771.6	 1772.8	 1771.2	  1772.2	       286	     0	        6
2023.03.28	 02:00:00	 1772.1	 1772.1	 1769.4	  1770.9	       665	     0	        6
2023.03.28	 03:00:00	 1771.0	 1772.5	 1768.9	  1769.6	       947	     0	        6
2023.03.28	 04:00:00	 1769.5	 1772.1	 1768.8	  1771.7	       762	     0	        6
2023.03.28	 05:00:00	 1771.6	 1772.2	 1771.2	  1771.4	       436	     0	        6
2023.03.28	 06:00:00	 1771.6	 1771.9	 1770.9	  1771.6	       353	     0	        6
2023.03.28	 07:00:00	 1771.5	 1772.2	 1770.3	  1771.4	       621	     0	        6
2023.03.28	 08:00:00	 1771.5	 1775.9	 1771.5	  1774.9	       765	     0	        6
2023.03.28	 09:00:00	 1774.8	 1778.7	 1769.8	  1770.6	      1782	     0	        6
2023.03.28	 10:00:00	 1770.2	 1772.6	 1766.9	  1767.8	      1487	     0	        6
2023.03.28	 11:00:00	 1767.4	 1768.6	 1763.9	  1764.2	      1277	     0	        6
2023.03.28	 12:00:00	 1764.0	 1764.8	 1760.6	  1762.4	      1149	     0	        6
2023.03.28	 13:00:00	 1762.5	 1767.3	 1761.8	  1763.4	      1156	     0	        6
2023.03.28	 14:00:00	 1763.3	 1765.4	 1758.6	  1760.8	      1636	     0	        6
2023.03.28	 15:00:00	 1760.6	 1773.0	 1756.2	  1768.4	      4871	     0	        6
2023.03.28	 16:00:00	 1768.5	 1774.4	 1761.7	  1765.8	      5748	     0	        6
2023.03.28	 17:00:00	 1766.0	 1771.8	 1765.2	  1770.4	      4066	     0	        6
2023.03.28	 18:00:00	 1770.7	 1771.0	 1765.5	  1767.0	      3097	     0	        6
2023.03.28	 19:00:00	 1767.3	 1767.4	 1756.6	  1757.4	      3297	     0	        6
2023.03.28	 20:00:00	 1757.2	 1764.1	 1756.8	  1763.4	      3079	     0	        6
2023.03.28	 21:00:00	 1763.3	 1767.4	 1759.5	  1764.7	      3749	     0	        6
2023.03.28	 22:00:00	 1764.6	 1768.4	 1764.4	  1767.3	       894	     0	        6
2023.03.29	 01:00:00	 1768.3	 1770.9	 1768.2	  1770.3	       361	     0	        6
2023.03.29	 02:00:00	 1770.2	 1773.6	 1769.7	  1773.2	       592	     0	        6
2023.03.29	 03:00:00	 1773.4	 1774.7	 1772.6	  1773.4	       498	     0	        6
2023.03.29	 04:00:00	 1773.5	 1775.4	 1773.1	  1774.7	       327	     0	        6
2023.03.29	 05:00:00	 1774.8	 1775.5	 1773.8	  1775.4	       321	     0	        6
2023.03.29	 06:00:00	 1775.5	 1776.8	 1774.9	  1776.4	       364	     0	        6
2023.03.29	 07:00:00	 1776.6	 1780.4	 1775.8	  1780.4	       564	     0	        6
2023.03.29	 08:00:00	 1780.6	 1780.6	 1777.4	  1779.3	       830	     0	        6
2023.03.29	 09:00:00	 1779.2	 1783.4	 1778.8	  1782.1	      1749	     0	        6
2023.03.29	 10:00:00	 1782.4	 1786.8	 1779.9	  1783.9	      1237	     0	        6
2023.03.29	 11:00:00	 1784.1	 1788.2	 1783.9	  1787.4	      1010	     0	        6
2023.03.29	 12:00:00	 1787.3	 1787.5	 1783.5	  1785.2	       801	     0	        6
2023.03.29	 13:00:00	 1785.1	 1785.8	 1781.2	  1781.3	       905	     0	        6
2023.03.29	 14:00:00	 1781.5	 1782.4	 1777.1	  1780.9	      1326	     0	        6
2023.03.29	 15:00:00	 1780.7	 1784.4	 1771.8	  1782.3	      4894	     0	        6
2023.03.29	 16:00:00	 1782.7	 1784.8	 1768.7	  1769.7	      5737	     0	        6
2023.03.29	 17:00:00	 1769.4	 1777.1	 1769.4	  1776.8	      3755	     0	        6
2023.03.29	 18:00:00	 1776.7	 1779.3	 1771.5	  1772.9	      2752	     0	        6
